Player,,,Team
Marquese Chriss,"Marquese Chriss,","if Marquese Chriss then GSW else end,",GSW
J.J. Barea,"J.J. Barea,","if J.J. Barea then DAL else end,",DAL
Goga Bitadze,"Goga Bitadze,","if Goga Bitadze then IND else end,",IND
Boban Marjanovic,"Boban Marjanovic,","if Boban Marjanovic then DAL else end,",DAL
Nerlens Noel,"Nerlens Noel,","if Nerlens Noel then OKC else end,",OKC
Ante Zizic,"Ante Zizic,","if Ante Zizic then CLE else end,",CLE
Bismack Biyombo,"Bismack Biyombo,","if Bismack Biyombo then CHA else end,",CHA
Nemanja Bjelica,"Nemanja Bjelica,","if Nemanja Bjelica then SAC else end,",SAC
Jahlil Okafor,"Jahlil Okafor,","if Jahlil Okafor then NOR else end,",NOR
Daniel Theis,"Daniel Theis,","if Daniel Theis then BOS else end,",BOS
Jordan Bell,"Jordan Bell,","if Jordan Bell then MIN else end,",MIN
Wilson Chandler,"Wilson Chandler,","if Wilson Chandler then BKN else end,",BKN
Greg Monroe,"Greg Monroe,","if Greg Monroe then PHI else end,",PHI
Luke Kornet,"Luke Kornet,","if Luke Kornet then CHI else end,",CHI
Aron Baynes,"Aron Baynes,","if Aron Baynes then PHO else end,",PHO
Khem Birch,"Khem Birch,","if Khem Birch then ORL else end,",ORL
Pat Connaughton,"Pat Connaughton,","if Pat Connaughton then MIL else end,",MIL
Ed Davis,"Ed Davis,","if Ed Davis then UTH else end,",UTH
Noah Vonleh,"Noah Vonleh,","if Noah Vonleh then MIN else end,",MIN
James Ennis III,"James Ennis III,","if James Ennis III then PHI else end,",PHI
Thon Maker,"Thon Maker,","if Thon Maker then DET else end,",DET
T.J. McConnell,"T.J. McConnell,","if T.J. McConnell then IND else end,",IND
Matisse Thybulle,"Matisse Thybulle,","if Matisse Thybulle then PHI else end,",PHI
Richaun Holmes,"Richaun Holmes,","if Richaun Holmes then SAC else end,",SAC
Andre Roberson,"Andre Roberson,","if Andre Roberson then OKC else end,",OKC
Jaxson Hayes,"Jaxson Hayes,","if Jaxson Hayes then NOR else end,",NOR
Tyler Ulis,"Tyler Ulis,","if Tyler Ulis then SAC else end,",SAC
Kenneth Faried,"Kenneth Faried,","if Kenneth Faried then HOU else end,",HOU
John Henson,"John Henson,","if John Henson then CLE else end,",CLE
Tyson Chandler,"Tyson Chandler,","if Tyson Chandler then HOU else end,",HOU
Andre Iguodala,"Andre Iguodala,","if Andre Iguodala then MEM else end,",MEM
Bruno Fernando,"Bruno Fernando,","if Bruno Fernando then ATL else end,",ATL
Kyle O'Quinn,"Kyle O'Quinn,","if Kyle O'Quinn then PHI else end,",PHI
Amir Johnson,"Amir Johnson,","if Amir Johnson then PHI else end,",PHI
Jonah Bolden,"Jonah Bolden,","if Jonah Bolden then PHI else end,",PHI
Damian Jones,"Damian Jones,","if Damian Jones then ATL else end,",ATL
Kosta Koufos,"Kosta Koufos,","if Kosta Koufos then SAC else end,",SAC
DeMarcus Cousins,"DeMarcus Cousins,","if DeMarcus Cousins then LAL else end,",LAL
Tyler Zeller,"Tyler Zeller,","if Tyler Zeller then DEN else end,",DEN
Timofey Mozgov,"Timofey Mozgov,","if Timofey Mozgov then ORL else end,",ORL
Ian Mahinmi,"Ian Mahinmi,","if Ian Mahinmi then WAS else end,",WAS
Joakim Noah,"Joakim Noah,","if Joakim Noah then MEM else end,",MEM
